,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
1567,Ma8Ea0-Pb8I24,Ma,Ea,0.004919379086770981,-50.9890207175,2.164838742604113,2164.838742604113
1568,Ma8Ea0-Pb8I24,Ma,Ea,0.004919379086770981,-51.0053266275,2.148532832604113,2148.532832604113
1569,Ma8Ea0-Pb8I24,Ma,Ea,0.004919379086770981,-50.985691035,2.168168425104108,2168.168425104108
1570,Ma8Ea0-Pb8I24,Ma,Ea,0.004919379086770981,-50.99551786,2.1583416001041105,2158.3416001041105
1571,Ma8Ea0-Pb8I24,Ma,Ea,0.004919379086770981,-50.99721388125,2.1566455788541123,2156.6455788541125
1572,Ma7Ea1-Pb8I24,Ma,Ea,0.18541627270027783,-53.059561955,2.7262546568193393,2726.2546568193393
1573,Ma7Ea1-Pb8I24,Ma,Ea,0.18541627270027783,-53.062626345,2.7231902668193406,2723.1902668193406
1574,Ma7Ea1-Pb8I24,Ma,Ea,0.18541627270027783,-53.06363045125,2.72218616056934,2722.18616056934
1575,Ma7Ea1-Pb8I24,Ma,Ea,0.18541627270027783,-53.056155725,2.7296608868193353,2729.6608868193352
1576,Ma7Ea1-Pb8I24,Ma,Ea,0.18541627270027783,-53.056368635,2.7294479768193405,2729.4479768193405
1577,Ma3Ea5-Pb8I24,Ma,Ea,0.5827023282504962,-61.3421859025,0.23674910736296084,236.74910736296084
1578,Ma3Ea5-Pb8I24,Ma,Ea,0.5827023282504962,-61.2909987675,0.2879362423629672,287.9362423629672
1579,Ma3Ea5-Pb8I24,Ma,Ea,0.5827023282504962,-61.36697561625,0.21195939361296467,211.95939361296467
1580,Ma3Ea5-Pb8I24,Ma,Ea,0.5827023282504962,-61.40350526,0.175429749862964,175.429749862964
1581,Ma3Ea5-Pb8I24,Ma,Ea,0.5827023282504962,-61.36297434625,0.21596066361296806,215.96066361296806
1582,Ma8Ea0-Pb8I24,Ma,Ea,0.050786388927033466,-50.9821661225,2.840513737557176,2840.513737557176
1583,Ma8Ea0-Pb8I24,Ma,Ea,0.050786388927033466,-50.99158725375,2.831092606307175,2831.092606307175
1584,Ma8Ea0-Pb8I24,Ma,Ea,0.050786388927033466,-50.990450285,2.8322295750571715,2832.2295750571716
1585,Ma7Ea1-Pb8I24,Ma,Ea,0.14332711588727287,-53.0652285875,2.1068552610239433,2106.855261023943
1586,Ma7Ea1-Pb8I24,Ma,Ea,0.14332711588727287,-53.06973249875,2.1023513497739454,2102.3513497739455
1587,Ma5Ea3-Pb8I24,Ma,Ea,0.4151856122675568,-57.21146758125,1.9247837356335928,1924.7837356335929
1588,Ma5Ea3-Pb8I24,Ma,Ea,0.4151856122675568,-57.2317895725,1.9044617443835925,1904.4617443835925
