,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,TotEng,Converged,lambda,sigma,tilt
44,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7930258403068731,-63.37103215,True,1.0002933342502915,1.0161185444651863,6.659286691289749e-07
45,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7930258403068731,-63.4309695425,True,1.0003943543737677,,2.1011485462677264
46,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7930258403068731,-63.4660414325,True,1.0004175646175621,1.4603890618653128,0.0
47,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.08025925800876454,-53.0567517575,True,1.0000094170489389,0.033127786416156865,5.69182430834396e-07
48,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.08025925800876454,-53.0580393125,True,1.0000032276573094,0.010721756639817857,2.84591215417198e-07
49,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.28539476558377685,-55.14355027875,True,1.0000033540089501,0.00907758454516337,1.7786950963574874e-07
50,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.08025925800876454,-53.04678644875,True,1.0000293147873158,0.10111836785560695,2.84591215417198e-07
51,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.08025925800876454,-53.0619067025,True,1.0000044278785407,0.015549958228936227,4.6688454085622004e-07
52,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.4311250652356122,-57.20016812375,True,1.0000694193012178,,2.4766048772276634
53,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.4311250652356122,-57.18321138875,True,1.0000116038931777,0.026978271055003354,3.498345694634409e-07
54,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.4311250652356122,-57.23055586875,True,1.0000664768206788,0.23397884614598907,0.0
55,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.4311250652356122,-57.20420001875,True,1.0002865491106816,0.9705641233961214,3.0185456743143334e-07
56,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.4311250652356122,-57.19759465875,True,1.0002232634200159,0.733675381045424,4.234813681326434e-07
57,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.25264549510757095,-55.14043788,True,1.0000472422168527,,2.482897619575285
58,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.25264549510757095,-55.10881544375,True,1.0001777383646344,0.6374275311507223,0.0
59,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.25264549510757095,-55.11552783125,True,1.0000340856634418,0.0903708694605474,2.84591215417198e-07
60,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9833290653449734,-67.57188840625,True,1.0007187179747252,2.4118001241841065,3.182716557480684e-07
61,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9833290653449734,-67.52316649375,True,1.0003163031980713,0.9586523791221704,2.84591215417198e-07
62,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9928516689684164,-67.6003491175,True,1.000019904286149,0.06365933855716657,4.0247275657524445e-07
63,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9928516689684164,-67.59545328875,True,1.0002087557281736,,1.8450357813035712
64,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9928516689684164,-67.5220017775,True,1.0001946738365266,,2.458119558699495
65,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9928516689684164,-67.567804575,True,1.000239855386413,0.8267369881242588,0.0
66,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9928516689684164,-67.57436057875,True,1.0001347620424716,0.40817523916501547,0.0
67,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0464452501824989,-50.99298288125,True,1.0000038116948287,0.013376048823084892,0.0
68,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0464452501824989,-50.99793736875,True,1.0000020785858414,245.45882367288877,4.990237288909889
69,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0464452501824989,-50.997456865,True,1.000003302375812,0.009276184684052289,2.84591215417198e-07
70,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0464452501824989,-50.9988357525,True,1.0000016965065386,0.0059660256083939964,4.7483570690734177e-07
71,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.14888807003123394,-53.04903297125,True,1.000002218091949,0.006937370803348154,4.590063115221955e-07
72,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4649366702360518,-59.24202869625,True,1.0000556892532746,0.09109368044479056,2.84591215417198e-07
73,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4649366702360518,-59.28674606875,True,1.000082041698868,0.25315540758839233,2.84591215417198e-07
74,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4649366702360518,-59.29414589125,True,1.000190914873695,0.6836505003203409,2.84591215417198e-07
75,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4649366702360518,-59.291090805,True,1.0000503760257153,0.17301699079723568,4.0247275657524445e-07
76,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4649366702360518,-59.2826755925,True,1.0003302691394742,1.1606330228120196,4.816197335009758e-07
77,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.8092342652445002,-63.45018936375,True,1.000499034154623,1.6748219907463182,4.0247275657524445e-07
78,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.8092342652445002,-63.43497146125,True,1.0004765731200742,1.5703045299255485,7.11478038542995e-08
79,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.8092342652445002,-63.43365156875,True,1.0003250252065399,1.1140863847106288,2.84591215417198e-07
80,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.8092342652445002,-63.46316935125,True,1.0002950494976486,1.0207170621792214,3.631789095225623e-07
81,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.8092342652445002,-63.47660673625,True,1.0001829621859275,,1.8472612225548684
82,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7768265841598969,-63.44602023625,True,1.0000039102183678,0.008377009743083284,0.0
83,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7768265841598969,-63.34527841,True,1.0002392395040975,0.8473206978168368,0.0
84,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7768265841598969,-63.40342016875,True,1.0005213260679167,,2.917766479975753
85,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7768265841598969,-63.41991667875,True,1.0000186605069297,0.06142729641092894,2.84591215417198e-07
86,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7768265841598969,-63.39333309625,True,1.0000359799524048,,2.4843435689576645
87,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9555954644725032,-67.58597062625,True,1.0000299951116678,,4.260754374840659
88,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9555954644725032,-67.58541677875,True,1.0000776186714013,0.27312011846116213,4.0247275657524445e-07
89,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9555954644725032,-67.58051669,True,1.0002560856139309,0.6647788625468878,3.521636620033389e-07
90,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9555954644725032,-67.62544425125,True,1.0003603638660354,,4.206723713163268
91,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9555954644725032,-67.56694408,True,1.0008406196275321,150.1655837314884,2.917197611348491
92,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-51.00275032625,True,1.0000035054770942,0.010538325828025715,0.0
93,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-51.000448125,True,1.000000903165005,,2.497678890750286
94,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-51.00595708125,True,1.0000060958856425,0.01847731012618674,0.0
95,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-50.99970957375,True,1.0000023955309436,0.006501709171332973,4.2831666740813636e-07
96,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-50.99435209625,True,1.0000024296803547,0.006107338936758535,4.153947119916904e-07
97,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.3104236731246234,-55.13134273625,True,1.0000681052477935,,9.916314380796285
98,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.1372440000706634,-53.06012238875,True,1.0000785010414537,0.2807877807739236,2.84591215417198e-07
99,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.29823989380202953,-55.14580087375,True,1.0000786738943823,105.46428790342225,2.1261274081694457
100,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7935244759803223,-63.39689017875,True,1.000032827517367,,2.976760682947175
101,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7935244759803223,-63.41472657125,True,1.000547370984841,1.8170865402821823,0.0
102,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.08980606951218495,-53.07354139,True,1.000112581370138,0.4053101947085813,0.0
103,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.30864813616971154,-55.12521477625,True,1.0000376463683893,0.10059722491957591,4.0247275657524445e-07
